,Depth(ft),TOC (wt%),Density(g/cm3),GR(API),R Ild(ohm),dt(ft)
57,8137.9350933,2.2264712,2.60114544028039,110.959600420985,22.6433785427846,88.4400897310469
58,8139.8115358,2.0266615,2.56723947849173,138.476856449864,10.432617841882,88.0261795562422
59,8142.4646135,2.0038537,2.51155545095584,119.215549236396,14.920886604035,84.7413693618093
60,8146.8970543,2.1966109,2.54889525819781,101.974887723872,18.2004428066984,66.6207309147864
61,8150.2501256,2.3892587,2.65125365725606,127.798846738554,17.4610764551143,72.4485698765501
62,8161.0936386,2.6903585,2.5966401311584,145.877770222623,35.0783773926761,80.9931900277664
63,8174.6745351,3.9763514,2.45817890647038,119.623118786287,89.8068005202008,83.5323367559765
64,8182.2084071,4.3463463,2.46841324308571,124.96200903171,44.9001168139885,80.0646419076316
65,8216.8427589,3.4190898,2.55310607708486,129.932251152903,35.0479154731901,83.3596720329195
66,8226.2083659,3.3200397,2.52276202572392,100.799967269109,58.6263930366139,80.8586958694876
67,8233.8597551,3.3977389,2.50734968345442,116.892931432895,48.3306023113907,82.585671647351
68,8246.3804424,3.7990088,2.46784938589434,152.682315351189,96.0292059589187,81.0785504513652
69,8249.7641703,4.176275,2.49699751380294,147.521662101655,88.6574064584446,78.8513246406249
70,8255.1367484,4.0306661,2.51280016741858,113.538365963865,83.080982849353,77.8923899287535
71,8259.8923615,3.66961,2.54932793140128,129.269950549231,71.3572964156465,73.9563818701913
72,8269.4176385,3.5321146,2.58116959948779,131.462692966293,64.978357643301,82.0145705252164
73,8286.9979506,3.9031284,2.4977912282067,92.0560795823206,113.936839002818,79.9726854281752
74,8289.5565036,4.3110802,2.46924719371012,101.117762998546,143.765019228906,81.2852659464416
75,8306.1404746,4.681993,2.56703482787602,90.9471773903774,101.136452973823,73.5060535320309
76,8308.7552315,3.9284121,2.55247572559187,99.2066728745942,127.36859313836,78.3588023180787
77,8319.0354285,3.8371471,2.52062804622581,102.811117921185,108.690984637944,74.2563328545899
