,Depth(ft),Density(g/cm3),GR(API),R Ild(ohm),dt(ft)
122,7771.34,2.52363775704485,100.650245541229,19.1145765190298,86.237883982604
123,7771.56,2.52721124504707,100.56375080078,18.9433879695676,85.9871163639164
124,7771.63,2.53096805696627,100.56375080078,18.9433879695676,85.9035271576871
126,7771.65,2.53504559677535,100.56375080078,18.9433879695676,85.9035271576871
127,7771.74,2.54178038523498,100.56375080078,18.9433879695676,85.8617325545725
128,7771.77,2.54590373530548,100.56375080078,18.9433879695676,85.8617325545725
129,7772.12,2.5498895083482,100.650026663607,17.4695152884098,85.1511460194267
130,7772.61,2.54929371171149,97.8169248924298,16.7155536447219,82.099583318656
131,7772.74,2.54462051663447,97.8169248924298,16.7155536447219,81.6815677033344
132,7772.83,2.53820636100642,97.8169248924298,16.44142115886,81.3889619914224
133,7773.03,2.53394547290643,96.9876477314035,16.44142115886,80.6783319661669
134,7773.1,2.53009697221743,96.9876477314035,16.44142115886,80.0512998451626
135,7773.15,2.5269357083209,96.9876477314035,16.44142115886,80.0512998451626
136,7773.29,2.5222166907955,96.9876477314035,16.235949830737,79.4242764221801
137,7773.48,2.51933026165612,96.9876477314035,16.235949830737,78.7554496980612
138,7773.58,2.51671875745739,96.8493244120134,16.235949830737,78.4628526841711
139,7773.73,2.51337419158042,96.8493244120134,16.4075890678818,78.3374601768053
140,7774.01,2.51254940213409,97.8338408812131,17.4019740212759,78.3374601768053
141,7774.5,2.51465670097022,97.9373541614985,19.4363195956116,78.3402990528972
142,7774.79,2.51965043138313,96.9009004398533,22.2819882538862,78.3821632401873
143,7774.92,2.52304070027625,96.9009004398533,23.4819333072195,78.3821632401873
144,7775.03,2.52775961299377,93.8259850281913,24.3390574025471,78.5494112368213
145,7775.07,2.53165388250851,92.6340547533986,24.3390574025471,78.5494112368213
146,7775.14,2.53550232470009,92.6340547533986,25.7104368349877,78.6330352351382
147,7775.17,2.53916752340865,92.6340547533986,25.7104368349877,78.6330352351382
148,7775.42,2.54205377461839,91.3902331445425,26.8761332526665,79.2601282422962
149,7775.52,2.54562731624324,87.6762705314352,27.8361603127862,79.3855555417497
150,7775.56,2.54865109817029,87.6762705314352,27.8361603127862,79.6781873477275
151,7775.93,2.55304772364993,84.5668144685099,32.2588231322506,80.8487406657044
152,7776.07,2.55680600876264,83.4266852216293,33.4643103174664,81.3086030722723
153,7776.44,2.55900801376692,83.3402256852734,33.4302187396407,82.1849017324736
154,7776.9,2.55988868986504,83.4092105591974,31.6476439927079,83.6899075536087
155,7777.04,2.55724604454934,83.4092105591974,31.2124191411634,84.1497612621547
156,7777.26,2.55357569567557,83.4092105591974,29.9783483669981,84.5678290656079
157,7777.52,2.54958235157712,84.6182757003946,28.5044005712266,84.90229896481
158,7777.77,2.54902436922236,86.1037624802999,27.2360060467931,85.3203754662852
159,7777.92,2.54435573821571,91.1650569213233,27.2360060467931,85.3203754662852
160,7777.96,2.54206548143246,91.1650569213233,27.2360060467931,85.3203754662852
161,7778.28,2.53792530044774,92.3223317488976,26.1391961306944,85.6534330273868
